Ano,Mês,Amazônia,Caatinga,Cerrado,Mata Atlântica,Pampa,Pantanal,Total mensal
2003,1,3528,2206,157,436,1,172,6500
2003,2,1960,56,214,107,3,30,2370
2003,3,3295,80,258,286,1,38,3958
2003,4,1179,440,1322,421,13,56,3431
2003,5,2033,248,5200,3321,316,179,11297
2003,6,5810,401,16779,5218,164,260,28632
2003,7,10625,957,25598,7995,1504,700,47379
2003,8,25943,4978,35140,7748,383,1596,75788
2003,9,28643,17360,62250,9255,86,3269,120863
2003,10,11775,24507,24521,5826,6,1110,67745
2003,11,10518,19483,2461,550,6,468,33486
2003,12,7858,11332,1240,444,5,34,20913
2004,1,2872,563,180,73,13,255,3956
2004,2,1553,9,89,75,10,165,1901
2004,3,1309,12,649,211,55,130,2366
2004,4,697,7,1008,418,281,83,2494
2004,5,3275,54,6963,122,84,47,10545
2004,6,7665,143,16368,3163,553,473,28365
2004,7,13245,365,23581,2045,349,565,40150
2004,8,30179,2015,38255,4545,155,2398,77547
2004,9,46587,4178,79405,3371,18,10408,143967
2004,10,16148,6987,23572,1168,51,3023,50949
2004,11,20035,14213,7056,791,10,312,42417
2004,12,13442,12743,1558,415,10,233,28401
2005,1,2023,1638,177,428,20,2,4288
2005,2,855,85,331,144,13,70,1498
2005,3,806,47,401,340,362,97,2053
2005,4,1381,1,1662,853,32,245,4174
2005,5,2162,53,5009,2609,72,716,10621
2005,6,3761,286,11483,2380,320,3688,21918
2005,7,12504,817,18052,2296,194,2886,36749
2005,8,50315,1900,41231,3876,90,12515,109927
2005,9,51457,6929,50466,1372,17,5633,115874
2005,10,16893,25909,46086,5569,8,1377,95842
2005,11,14495,19115,5870,562,13,204,40259
2005,12,4206,8328,922,160,15,39,13670
2006,1,1261,542,619,136,21,5,2584
2006,2,535,412,144,464,19,36,1610
2006,3,826,89,322,305,78,17,1637
2006,4,868,18,603,397,99,8,1993
2006,5,1055,7,2862,2813,435,84,7256
2006,6,2206,40,9573,6170,235,503,18727
2006,7,5201,247,20378,8269,536,896,35527
2006,8,25061,1236,35778,7322,410,2494,72301
2006,9,37450,7006,35636,3012,20,2427,85551
2006,10,9673,9836,8810,525, ,404,29248
2006,11,8229,10752,2596,392,16,537,22522
2006,12,4951,9307,788,168,1,7,15222
2007,1,2692,1152,238,91, ,3,4176
2007,2,3277,16,119,121,1,6,3540
2007,3,1765,8,905,297,1,18,2994
2007,4,432,26,1508,528,25,98,2617
2007,5,1329,271,7944,788,63,170,10565
2007,6,2866,1162,18839,4578,336,479,28260
2007,7,5238,2717,38635,3589,407,933,51519
2007,8,37397,3097,72717,3911,110,3180,120412
2007,9,60887,8637,118753,5560,78,10575,204490
2007,10,22883,14771,56652,5930,3,2826,103065
2007,11,14022,18434,11951,2930,11,358,47706
2007,12,1799,6110,877,200,4,53,9043
2008,1,1410,487,207,111,19,8,2242
2008,2,721,58,88,159,33,15,1074
2008,3,798,40,267,279,13,22,1419
2008,4,638,11,516,204,122,34,1525
2008,5,508,21,2377,1861,400,73,5240
2008,6,1693,81,7813,1651,129,145,11512
2008,7,4507,150,13691,9030,649,733,28760
2008,8,17498,1329,25652,2681,40,1475,48675
2008,9,18347,4521,39781,2963,10,3983,69605
2008,10,15520,20322,40038,4218,10,3068,83176
2008,11,9499,18262,8136,1359,7,466,37729
2008,12,3553,5225,892,451,20,1231,11372
2009,1,412,588,258,200,43,612,2113
2009,2,991,43,154,131,10,183,1512
2009,3,765,325,295,334,5,119,1843
2009,4,512,67,599,1257,297,753,3485
2009,5,1870,18,2014,1807,1236,2047,8992
2009,6,1689,77,5225,2035,165,678,9869
2009,7,2264,371,12862,1549,208,744,17998
2009,8,5614,713,19084,4020,199,1645,31275
2009,9,10748,6672,24263,900,5,3452,46040
2009,10,12340,5757,5637,1041,1,2737,27513
2009,11,14669,11063,3399,254, ,797,30182
2009,12,5131,6115,553,225,12,42,12078
2010,1,1358,292,172,216,8,46,2092
2010,2,1295,124,287,252,1,83,2042
2010,3,640,70,438,157,14,77,1396
2010,4,659,20,2454,450,105,222,3910
2010,5,1781,389,8744,655,95,64,11728
2010,6,2305,376,19282,3027,79,1290,26359
2010,7,5463,1797,40451,5407,141,1358,54617
