start,end,state
2022-11-23 00:00:00,2022-12-31 23:59:59,OK
2022-10-24 00:00:00,2022-11-23 23:59:59,OK
2022-09-24 00:00:00,2022-10-24 23:59:59,OK
2022-08-25 00:00:00,2022-09-24 23:59:59,OK
2022-07-26 00:00:00,2022-08-25 23:59:59,OK
2022-06-26 00:00:00,2022-07-26 23:59:59,OK
2022-05-27 00:00:00,2022-06-26 23:59:59,OK
2022-04-27 00:00:00,2022-05-27 23:59:59,OK
2022-03-28 00:00:00,2022-04-27 23:59:59,OK
2022-02-26 00:00:00,2022-03-28 23:59:59,OK
2022-01-27 00:00:00,2022-02-26 23:59:59,OK
2021-12-28 00:00:00,2022-01-27 23:59:59,OK
2021-11-28 00:00:00,2021-12-28 23:59:59,OK
2021-10-29 00:00:00,2021-11-28 23:59:59,OK
2021-09-29 00:00:00,2021-10-29 23:59:59,OK
2021-08-30 00:00:00,2021-09-29 23:59:59,OK
2021-07-31 00:00:00,2021-08-30 23:59:59,OK
2021-07-01 00:00:00,2021-07-31 23:59:59,OK
2021-06-01 00:00:00,2021-07-01 23:59:59,OK
2021-05-02 00:00:00,2021-06-01 23:59:59,OK
2021-04-02 00:00:00,2021-05-02 23:59:59,OK
2021-03-03 00:00:00,2021-04-02 23:59:59,OK
2021-02-01 00:00:00,2021-03-03 23:59:59,OK
2021-01-02 00:00:00,2021-02-01 23:59:59,OK
2020-12-03 00:00:00,2021-01-02 23:59:59,OK
2020-11-03 00:00:00,2020-12-03 23:59:59,OK
2020-10-04 00:00:00,2020-11-03 23:59:59,OK
2020-09-04 00:00:00,2020-10-04 23:59:59,OK
2020-08-05 00:00:00,2020-09-04 23:59:59,OK
2020-07-06 00:00:00,2020-08-05 23:59:59,OK
2020-06-06 00:00:00,2020-07-06 23:59:59,OK
2020-05-07 00:00:00,2020-06-06 23:59:59,OK
2020-04-07 00:00:00,2020-05-07 23:59:59,OK
2020-03-08 00:00:00,2020-04-07 23:59:59,OK
2020-02-07 00:00:00,2020-03-08 23:59:59,OK
2020-01-08 00:00:00,2020-02-07 23:59:59,OK
2019-12-09 00:00:00,2020-01-08 23:59:59,OK
2019-11-09 00:00:00,2019-12-09 23:59:59,OK
2019-10-10 00:00:00,2019-11-09 23:59:59,OK
2019-09-10 00:00:00,2019-10-10 23:59:59,OK
2019-08-11 00:00:00,2019-09-10 23:59:59,OK
2019-07-12 00:00:00,2019-08-11 23:59:59,OK
2019-06-12 00:00:00,2019-07-12 23:59:59,OK
2019-05-13 00:00:00,2019-06-12 23:59:59,OK
2019-04-13 00:00:00,2019-05-13 23:59:59,OK
2019-03-14 00:00:00,2019-04-13 23:59:59,OK
2019-02-12 00:00:00,2019-03-14 23:59:59,OK
2019-01-13 00:00:00,2019-02-12 23:59:59,OK
2018-12-14 00:00:00,2019-01-13 23:59:59,OK
2018-11-14 00:00:00,2018-12-14 23:59:59,OK
2018-10-15 00:00:00,2018-11-14 23:59:59,OK
2018-09-15 00:00:00,2018-10-15 23:59:59,OK
2018-08-16 00:00:00,2018-09-15 23:59:59,OK
2018-07-17 00:00:00,2018-08-16 23:59:59,OK
