time,AQ-FA,AQ1km
2008-01-01,877,2242
2008-02-01,815,1074
2008-03-01,1180,1419
2008-04-01,332,1525
2008-05-01,706,5240
2008-06-01,2209,11512
2008-07-01,9648,28760
2008-08-01,30367,48675
2008-09-01,48247,69605
2008-10-01,74441,83176
2008-11-01,51973,37729
2008-12-01,14696,11372
2009-01-01,1480,2113
2009-02-01,447,1512
2009-03-01,1029,1843
2009-04-01,1657,3485
2009-05-01,2451,8992
2009-06-01,2980,9869
2009-07-01,5841,17998
2009-08-01,15793,31275
2009-09-01,28976,46040
2009-10-01,25637,27513
2009-11-01,44951,30182
2009-12-01,7011,12078
2010-01-01,813,2092
2010-02-01,940,2042
2010-03-01,523,1396
2010-04-01,763,3910
2010-05-01,2712,11728
2010-06-01,9898,26359
2010-07-01,26980,54617
2010-08-01,105864,132715
2010-09-01,166137,185496
2010-10-01,70345,66904
2010-11-01,33702,17294
2010-12-01,7932,5474
2011-01-01,1546,1790
2011-02-01,1244,1085
2011-03-01,845,388
2011-04-01,652,1601
2011-05-01,2922,5217
2011-06-01,5514,12604
2011-07-01,10876,25816
2011-08-01,34216,45894
2011-09-01,84585,85887
2011-10-01,31170,27491
2011-11-01,13439,10560
2011-12-01,12283,10739
2012-01-01,2719,3781
2012-02-01,2547,905
2012-03-01,3140,1915
2012-04-01,2592,3236
2012-05-01,5122,11113
2012-06-01,10773,20208
2012-07-01,24967,33370
2012-08-01,89322,85992
2012-09-01,151772,118237
2012-10-01,111346,83970
2012-11-01,41953,19512
2012-12-01,18345,9467
2013-01-01,5276,4771
2013-02-01,3421,951
2013-03-01,3745,1780
2013-04-01,1779,1417
2013-05-01,4827,6375
2013-06-01,7993,10762
2013-07-01,18566,18414
2013-08-01,41541,36995
2013-09-01,58689,61806
2013-10-01,40518,30061
2013-11-01,11011,13042
2013-12-01,9185,7128
2014-01-01,1927,3073
2014-02-01,1183,1370
2014-03-01,1823,1419
2014-04-01,1108,1690
2014-05-01,2536,5444
2014-06-01,8002,14534
2014-07-01,17154,24951
2014-08-01,55331,66004
2014-09-01,66734,69207
2014-10-01,66192,62575
2014-11-01,25545,17953
2014-12-01,12498,9047
2015-01-01,4132,3940
2015-02-01,1807,1898
2015-03-01,1241,1000
2015-04-01,1429,2094
2015-05-01,1617,4321
2015-06-01,6793,12570
2015-07-01,14466,18680
2015-08-01,55413,54718
2015-09-01,108341,95928
2015-10-01,104322,85337
2015-11-01,60112,44025
2015-12-01,41587,29926
2016-01-01,7877,6743
2016-02-01,3049,1794
2016-03-01,4351,4076
2016-04-01,3224,4756
2016-05-01,3531,9145
2016-06-01,6696,17132
2016-07-01,22957,35990
2016-08-01,53276,63814
2016-09-01,62888,65802
2016-10-01,43402,39644
2016-11-01,27599,24678
2016-12-01,9133,7299
2017-01-01,1783,1824
2017-02-01,799,899
2017-03-01,951,1007
2017-04-01,601,1531
2017-05-01,2215,5198
2017-06-01,5380,9491
2017-07-01,26425,22819
2017-08-01,65452,53460
2017-09-01,157903,110795
2017-10-01,108462,63020
2017-11-01,50873,22120
2017-12-01,20345,14718
2018-01-01,3014,3025
2018-02-01,2573,1378
2018-03-01,4011,2443
2018-04-01,2315,1624
2018-05-01,4205,5919
2018-06-01,7745,11416
2018-07-01,16683,20339
2018-08-01,30704,30295
2018-09-01,70261,57453
2018-10-01,42796,21449
2018-11-01,18474,12057
2018-12-01,3176,3490
2019-01-01,4226,4406
2019-02-01,4223,2778
2019-03-01,9511,6181
2019-04-01,4294,3053
2019-05-01,3874,5094
2019-06-01,9753,12680
2019-07-01,16090,23566
2019-08-01,82698,72242
2019-09-01,107876,93631
2019-10-01,62829,50132
2019-11-01,43464,30130
2019-12-01,15183,12949
2020-01-01,3747,3159
2020-02-01,2404,3421
2020-03-01,5467,3836
2020-04-01,4366,4788
2020-05-01,5031,5324
2020-06-01,12336,12929
2020-07-01,27623,20565
2020-08-01,90926,58898
2020-09-01,152822,105162
2020-10-01,135196,67425
2020-11-01,38071,11763
2020-12-01,15695,6462
2021-01-01,3358,1670
2021-02-01,3132,1208
2021-03-01,3318,1707
2021-04-01,3030,2250
2021-05-01,8823,9610
2021-06-01,14585,15688
2021-07-01,29694,26841
2021-08-01,95644,74034
2021-09-01,120555,94337
2021-10-01,76163,37574
2021-11-01,21673,15374
2021-12-01,8639,4233
2022-01-01,4860,3580
2022-02-01,2981,1499
2022-03-01,1945,845
2022-04-01,4196,2242
2022-05-01,10609,9660
2022-06-01,14862,16423
2022-07-01,25981,24884
2022-08-01,78720,57966
2022-09-01,123121,70333
2022-10-01,91092,50085
2022-11-01,27041,8792
2022-12-01,8522,4398
